id,Name,Country,Score
592,Haverford College,USA,73.2
593,Central China Normal University,China,73.2
594,Czech Technical University in Prague,Czech Republic,73.2
595,Jiangsu University,China,73.2
596,University Paris-Est Créteil,France,73.2
597,Brigham Young University,USA,73.2
598,CINVESTAV,Mexico,73.2
599,Polytechnic University of Turin,Italy,73.2
600,University of Salerno,Italy,73.1
601,Beijing Jiaotong University,China,73.1
602,Jiangnan University,China,73.1
603,University of Aveiro,Portugal,73.1
604,University of Cagliari,Italy,73.1
605,University of Eastern Piedmont,Italy,73.1
606,AGH University of Science and Technology,Poland,73.1
607,Federal University of São Paulo,Brazil,73.1
608,Nanjing University of Information Science and Technology,China,73.1
609,Comenius University in Bratislava,Slovak Republic,73.1
610,University of St.Gallen,Switzerland,73.1
611,Jeonbuk National University,South Korea,73.0
612,Sharif University of Technology,Iran,73.0
613,National Research Nuclear University MEPhI,Russia,73.0
614,St George's, University of London,United Kingdom,73.0
615,Utah State University,USA,73.0
616,University of Bayreuth,Germany,73.0
617,University of Québec at Montreal,Canada,73.0
618,Second Military Medical University,China,73.0
619,National University of Ireland, Galway,Ireland,73.0
620,Rio de Janeiro State University,Brazil,73.0
621,National University of La Plata,Argentina,73.0
622,University of Brescia,Italy,73.0
623,Indian Institute of Technology Delhi,India,72.9
624,Toulouse INP,France,72.9
625,University of La Laguna,Spain,72.9
626,Institut national des sciences appliquées de Lyon,France,72.9
627,Konkuk University,South Korea,72.9
628,Southern Medical University,China,72.9
629,Bielefeld University,Germany,72.9
630,Cold Spring Harbor Laboratory,USA,72.9
631,University of Plymouth,United Kingdom,72.9
632,Henryk Niewodniczański Institute of Nuclear Physics,Poland,72.9
633,North China Electric Power University,China,72.9
634,Ocean University of China,China,72.8
635,Catholic University of Korea,South Korea,72.8
636,Courtauld Institute of Art,United Kingdom,72.8
637,Boğaziçi University,Turkey,72.8
638,China University of Mining and Technology,China,72.8
639,Memorial University of Newfoundland,Canada,72.8
640,National Polytechnic Institute,Mexico,72.8
641,University of New Hampshire,USA,72.8
642,Tilburg University,Netherlands,72.8
643,Tehran University of Medical Sciences,Iran,72.8
644,Southern University of Science and Technology,China,72.8
645,Renmin University of China,China,72.8
646,Nanjing Normal University,China,72.7
647,Hefei University of Technology,China,72.7
648,Donghua University,China,72.7
649,University of Cantabria,Spain,72.7
650,Hacettepe University,Turkey,72.7
651,Saarland University,Germany,72.7
652,Ankara University,Turkey,72.7
653,Binghamton University,USA,72.7
654,Chung-Ang University,South Korea,72.7
655,Shinshu University,Japan,72.7
656,University of Macau,China,72.7
657,Swinburne University of Technology,Australia,72.6
658,University of Campania Luigi Vanvitelli,Italy,72.6
659,Sciences Po,France,72.6
660,Loughborough University,United Kingdom,72.6
661,Loyola University Chicago,USA,72.6
662,University of Texas Medical Branch,USA,72.6
663,Tokyo Metropolitan University,Japan,72.6
664,University of Kent,United Kingdom,72.6
665,Roma Tre University,Italy,72.6
666,University of Calabria,Italy,72.6
667,Massey University,New Zealand,72.6
668,University of Haifa,Israel,72.6
669,Kanazawa University,Japan,72.5
670,University of Wyoming,USA,72.5
671,University of Málaga,Spain,72.5
672,Tokyo Medical and Dental University,Japan,72.5
673,Istanbul University,Turkey,72.5
674,University of Johannesburg,South Africa,72.5
675,University of Texas at San Antonio,USA,72.5
676,University of Ioannina,Greece,72.5
677,Zhejiang University of Technology,China,72.5
678,University of Szeged,Hungary,72.5
679,University of Fribourg,Switzerland,72.5
680,University of Maine, Orono,USA,72.5
681,Tianjin Medical University,China,72.5
682,Istanbul Technical University,Turkey,72.4
683,Semmelweis University,Hungary,72.4
684,Nanchang University,China,72.4
685,University of Nevada, Reno,USA,72.4
686,Warsaw University of Technology,Poland,72.4
687,Vilnius University,Lithuania,72.4
688,National University of Defense Technology,China,72.4
689,Chungnam National University,South Korea,72.4
690,Yokohama City University,Japan,72.4
691,Southwest Jiaotong University,China,72.4
692,University of Salamanca,Spain,72.4
693,Hong Kong Baptist University,China,72.4
694,Isfahan University of Technology,Iran,72.3
695,University of Debrecen,Hungary,72.3
696,National Chung Hsing University,Taiwan,72.3
697,Oswaldo Cruz Foundation,Brazil,72.3
698,Victoria University of Wellington,New Zealand,72.3
699,Heriot-Watt University,United Kingdom,72.3
700,University of Oklahoma Health Sciences Center,USA,72.3
701,Inha University,South Korea,72.3
702,University of Crete,Greece,72.3
703,Kumamoto University,Japan,72.3
704,Otto von Guericke University Magdeburg,Germany,72.3
705,King Fahd University of Petroleum and Minerals,Saudi Arabia,72.3
706,Northeast Normal University,China,72.2
707,University of Greifswald,Germany,72.2
708,Indian Institute of Technology Kharagpur,India,72.2
709,Panjab University,India,72.2
710,University of North Texas, Denton,USA,72.2
711,South China Normal University,China,72.2
712,Taipei Medical University,Taiwan,72.2
713,Mississippi State University,USA,72.2
714,University of Arkansas for Medical Sciences,USA,72.2
715,University of Missouri-Kansas City,USA,72.2
